INSERT INTO `dictionary` VALUES (117219, 'محامت', 'muhammet', '2023-10-03 21:17:58', '2023-10-03 21:17:58');
INSERT INTO `dictionary` VALUES (125744, 'إشتهاء', 'iştiha\'', '2023-10-03 22:26:38', '2023-10-03 22:26:38');
INSERT INTO `dictionary` VALUES (125745, 'إشتهار', 'iştihar', '2023-10-03 22:26:39', '2023-10-03 22:26:39');
INSERT INTO `dictionary` VALUES (125746, 'إشتیاق', 'iştiyak', '2023-10-03 22:26:39', '2023-10-03 22:26:39');
INSERT INTO `dictionary` VALUES (125747, 'أشجار', 'eşcar', '2023-10-03 22:26:40', '2023-10-03 22:26:40');
INSERT INTO `dictionary` VALUES (125748, 'أشجان', 'eşcan', '2023-10-03 22:26:40', '2023-10-03 22:26:40');
INSERT INTO `dictionary` VALUES (125749, 'أشجع', 'eşca\'', '2023-10-03 22:26:41', '2023-10-03 22:26:41');
INSERT INTO `dictionary` VALUES (125750, 'أشخاص', 'eşhas', '2023-10-03 22:26:41', '2023-10-03 22:26:41');
INSERT INTO `dictionary` VALUES (125751, 'أشد', 'eşed', '2023-10-03 22:26:42', '2023-10-03 22:26:42');
INSERT INTO `dictionary` VALUES (125752, 'أشدیرمك', 'eştirmek', '2023-10-03 22:26:42', '2023-10-03 22:26:42');
INSERT INTO `dictionary` VALUES (125753, 'أشر', 'eşer', '2023-10-03 22:26:43', '2023-10-03 22:26:43');
INSERT INTO `dictionary` VALUES (125754, 'أشراء', 'eşirra', '2023-10-03 22:26:43', '2023-10-03 22:26:43');
INSERT INTO `dictionary` VALUES (125755, 'إشراب', 'işrab', '2023-10-03 22:26:44', '2023-10-03 22:26:44');
INSERT INTO `dictionary` VALUES (125756, 'أشرار', 'eşrar', '2023-10-03 22:26:44', '2023-10-03 22:26:44');
INSERT INTO `dictionary` VALUES (125757, 'أشراط', 'eşrat', '2023-10-03 22:26:44', '2023-10-03 22:26:44');
INSERT INTO `dictionary` VALUES (125758, 'أشراف', 'eşraf', '2023-10-03 22:26:45', '2023-10-03 22:26:45');
INSERT INTO `dictionary` VALUES (125759, 'إشراق', 'işrak', '2023-10-03 22:26:45', '2023-10-03 22:26:45');
INSERT INTO `dictionary` VALUES (125760, 'إشراك', 'işrak', '2023-10-03 22:26:46', '2023-10-03 22:26:46');
INSERT INTO `dictionary` VALUES (125761, 'أشربه', 'eşribe', '2023-10-03 22:26:46', '2023-10-03 22:26:46');
INSERT INTO `dictionary` VALUES (125762, 'أشرف', 'eşref', '2023-10-03 22:26:47', '2023-10-03 22:26:47');
INSERT INTO `dictionary` VALUES (125763, 'أشعار', 'eş\'ar', '2023-10-03 22:26:47', '2023-10-03 22:26:47');
INSERT INTO `dictionary` VALUES (125764, 'إشعار', 'iş\'ar', '2023-10-03 22:26:48', '2023-10-03 22:26:48');
INSERT INTO `dictionary` VALUES (125765, 'إشعال', 'iş\'al', '2023-10-03 22:26:48', '2023-10-03 22:26:48');
INSERT INTO `dictionary` VALUES (125766, 'أشعه', 'eşi\'\'a', '2023-10-03 22:26:49', '2023-10-03 22:26:49');
INSERT INTO `dictionary` VALUES (125767, 'أشعال', 'eşgal', '2023-10-03 22:26:49', '2023-10-03 22:26:49');
INSERT INTO `dictionary` VALUES (125768, 'إشغال', 'işgal', '2023-10-03 22:26:50', '2023-10-03 22:26:50');
INSERT INTO `dictionary` VALUES (125769, 'أشفاق', 'eşfak', '2023-10-03 22:26:50', '2023-10-03 22:26:50');
INSERT INTO `dictionary` VALUES (125770, 'أشفق', 'eşfek', '2023-10-03 22:26:51', '2023-10-03 22:26:51');
INSERT INTO `dictionary` VALUES (125771, 'أشفیه', 'eşfiye', '2023-10-03 22:26:51', '2023-10-03 22:26:51');
INSERT INTO `dictionary` VALUES (125772, 'أشقر', 'eşkar', '2023-10-03 22:26:52', '2023-10-03 22:26:52');
INSERT INTO `dictionary` VALUES (125773, 'أشقیاء', 'eşkıya', '2023-10-03 22:26:52', '2023-10-03 22:26:52');
INSERT INTO `dictionary` VALUES (125774, 'آشقین', 'aşkın', '2023-10-03 22:26:53', '2023-10-03 22:26:53');
INSERT INTO `dictionary` VALUES (125775, 'أشك', 'eşek', '2023-10-03 22:26:53', '2023-10-03 22:26:53');
INSERT INTO `dictionary` VALUES (125776, 'أشكال', 'eşkal', '2023-10-03 22:26:54', '2023-10-03 22:26:54');
INSERT INTO `dictionary` VALUES (125777, 'إشكال', 'işkal', '2023-10-03 22:26:54', '2023-10-03 22:26:54');
INSERT INTO `dictionary` VALUES (125778, 'إشكل', 'işkel', '2023-10-03 22:26:55', '2023-10-03 22:26:55');
INSERT INTO `dictionary` VALUES (125779, 'إشكمبه', 'işkembe', '2023-10-03 22:26:55', '2023-10-03 22:26:55');
INSERT INTO `dictionary` VALUES (125780, 'إشكنجه', 'işkence', '2023-10-03 22:26:56', '2023-10-03 22:26:56');
INSERT INTO `dictionary` VALUES (125781, 'أشكین', 'eşkin', '2023-10-03 22:26:56', '2023-10-03 22:26:56');
INSERT INTO `dictionary` VALUES (125782, 'أشلشمك', 'eşleşmek', '2023-10-03 22:26:56', '2023-10-03 22:26:56');
INSERT INTO `dictionary` VALUES (125783, 'أشلمك', 'eşilmek', '2023-10-03 22:26:57', '2023-10-03 22:26:57');
INSERT INTO `dictionary` VALUES (125784, 'إشمار', 'işmar', '2023-10-03 22:26:57', '2023-10-03 22:26:57');
INSERT INTO `dictionary` VALUES (125785, 'إشمام', 'işmam', '2023-10-03 22:26:58', '2023-10-03 22:26:58');
INSERT INTO `dictionary` VALUES (125786, 'أشمك', 'eşmek', '2023-10-03 22:26:58', '2023-10-03 22:26:58');
INSERT INTO `dictionary` VALUES (125787, 'أشمه', 'eşme', '2023-10-03 22:26:59', '2023-10-03 22:26:59');
INSERT INTO `dictionary` VALUES (125788, 'إشمئزاز', 'işmi\'zaz', '2023-10-03 22:26:59', '2023-10-03 22:26:59');
INSERT INTO `dictionary` VALUES (125789, 'أشنع', 'eşna\'', '2023-10-03 22:26:59', '2023-10-03 22:26:59');
INSERT INTO `dictionary` VALUES (125790, 'أشنمك', 'eşinmek', '2023-10-03 22:27:00', '2023-10-03 22:27:00');
INSERT INTO `dictionary` VALUES (125791, 'أشواق', 'eşvak', '2023-10-03 22:27:00', '2023-10-03 22:27:00');
INSERT INTO `dictionary` VALUES (125792, 'إشهاد', 'işhad', '2023-10-03 22:27:01', '2023-10-03 22:27:01');
INSERT INTO `dictionary` VALUES (125793, 'أشهب', 'eşheb', '2023-10-03 22:27:01', '2023-10-03 22:27:01');
INSERT INTO `dictionary` VALUES (125794, 'أشهر', 'eşher', '2023-10-03 22:27:02', '2023-10-03 22:27:02');
INSERT INTO `dictionary` VALUES (125795, 'أشهل', 'eşhel', '2023-10-03 22:27:02', '2023-10-03 22:27:02');
INSERT INTO `dictionary` VALUES (125796, 'أشه‌لمك', 'eşelemek', '2023-10-03 22:27:03', '2023-10-03 22:27:03');
INSERT INTO `dictionary` VALUES (125797, 'أشهی', 'eşha', '2023-10-03 22:27:03', '2023-10-03 22:27:03');
INSERT INTO `dictionary` VALUES (125798, 'أشیاء', 'eşya\'', '2023-10-03 22:27:04', '2023-10-03 22:27:04');
INSERT INTO `dictionary` VALUES (125799, 'آشیٖرتمه', 'aşırtma', '2023-10-03 22:27:04', '2023-10-03 22:27:04');
INSERT INTO `dictionary` VALUES (125800, 'أشیك', 'eşik', '2023-10-03 22:27:04', '2023-10-03 22:27:04');
INSERT INTO `dictionary` VALUES (125801, 'إص', 'is', '2023-10-03 22:27:05', '2023-10-03 22:27:05');
INSERT INTO `dictionary` VALUES (125802, 'إصابت', 'isabet', '2023-10-03 22:27:05', '2023-10-03 22:27:05');
INSERT INTO `dictionary` VALUES (125803, 'أصابع', 'esabi\'', '2023-10-03 22:27:06', '2023-10-03 22:27:06');
INSERT INTO `dictionary` VALUES (125804, 'إساغه', 'isaga', '2023-10-03 22:27:06', '2023-10-03 22:27:06');
INSERT INTO `dictionary` VALUES (125805, 'أصالت', 'asalet', '2023-10-03 22:27:07', '2023-10-03 22:27:07');
INSERT INTO `dictionary` VALUES (125806, 'آصپور', 'aspur', '2023-10-03 22:27:07', '2023-10-03 22:27:07');
INSERT INTO `dictionary` VALUES (125807, 'أصح', 'esah', '2023-10-03 22:27:08', '2023-10-03 22:27:08');
INSERT INTO `dictionary` VALUES (125808, 'أصحاب', 'ashab', '2023-10-03 22:27:08', '2023-10-03 22:27:08');
INSERT INTO `dictionary` VALUES (125809, 'إصدار', 'isdar', '2023-10-03 22:27:08', '2023-10-03 22:27:08');
INSERT INTO `dictionary` VALUES (125810, 'أصداف', 'esdaf', '2023-10-03 22:27:09', '2023-10-03 22:27:09');
INSERT INTO `dictionary` VALUES (125811, 'أصدقاء', 'esdıka', '2023-10-03 22:27:09', '2023-10-03 22:27:09');
INSERT INTO `dictionary` VALUES (125812, 'إصرار', 'israr', '2023-10-03 22:27:10', '2023-10-03 22:27:10');
INSERT INTO `dictionary` VALUES (125813, 'إصسز', 'ıssız', '2023-10-03 22:27:10', '2023-10-03 22:27:10');
INSERT INTO `dictionary` VALUES (125814, 'إصطبار', 'istibar', '2023-10-03 22:27:11', '2023-10-03 22:27:11');
INSERT INTO `dictionary` VALUES (125815, 'إصطبل', 'istakbil', '2023-10-03 22:27:11', '2023-10-03 22:27:11');
INSERT INTO `dictionary` VALUES (125816, 'إصطفاء', 'istifa\'', '2023-10-03 22:27:11', '2023-10-03 22:27:11');
INSERT INTO `dictionary` VALUES (125817, 'إصطلاح', 'istilah', '2023-10-03 22:27:12', '2023-10-03 22:27:12');
INSERT INTO `dictionary` VALUES (125818, 'إصطیاد', 'istiyad', '2023-10-03 22:27:12', '2023-10-03 22:27:12');
INSERT INTO `dictionary` VALUES (125819, 'إصعاد', 'is\'ad', '2023-10-03 22:27:13', '2023-10-03 22:27:13');
INSERT INTO `dictionary` VALUES (125820, 'أصعب', 'es\'ab', '2023-10-03 22:27:13', '2023-10-03 22:27:13');
INSERT INTO `dictionary` VALUES (125821, 'إصعاء', 'is\'a', '2023-10-03 22:27:14', '2023-10-03 22:27:14');
INSERT INTO `dictionary` VALUES (125822, 'إصعار', 'isgar', '2023-10-03 22:27:14', '2023-10-03 22:27:14');
INSERT INTO `dictionary` VALUES (125823, 'أصغر', 'esgar', '2023-10-03 22:27:15', '2023-10-03 22:27:15');
INSERT INTO `dictionary` VALUES (125824, 'إصفاء', 'isfa', '2023-10-03 22:27:15', '2023-10-03 22:27:15');
INSERT INTO `dictionary` VALUES (125825, 'أصفار', 'esfar', '2023-10-03 22:27:15', '2023-10-03 22:27:15');
INSERT INTO `dictionary` VALUES (125826, 'أصفر', 'asfar', '2023-10-03 22:27:16', '2023-10-03 22:27:16');
INSERT INTO `dictionary` VALUES (125827, 'إصفرار', 'isfirar', '2023-10-03 22:27:16', '2023-10-03 22:27:16');
INSERT INTO `dictionary` VALUES (125828, 'أصفی', 'asfa', '2023-10-03 22:27:17', '2023-10-03 22:27:17');
INSERT INTO `dictionary` VALUES (125829, 'أصفیاء', 'esfiya', '2023-10-03 22:27:17', '2023-10-03 22:27:17');
INSERT INTO `dictionary` VALUES (125830, 'أصل', 'asl', '2023-10-03 22:27:18', '2023-10-03 22:27:18');
INSERT INTO `dictionary` VALUES (125831, 'إصلاح', 'islah', '2023-10-03 22:27:18', '2023-10-03 22:27:18');
INSERT INTO `dictionary` VALUES (125832, 'أصلح', 'eslah', '2023-10-03 22:27:19', '2023-10-03 22:27:19');
INSERT INTO `dictionary` VALUES (125833, 'أصلزاده', 'asılzade', '2023-10-03 22:27:19', '2023-10-03 22:27:19');
INSERT INTO `dictionary` VALUES (125834, 'أصلع', 'esla\'', '2023-10-03 22:27:19', '2023-10-03 22:27:19');
INSERT INTO `dictionary` VALUES (125835, 'أصم', 'esam', '2023-10-03 22:27:20', '2023-10-03 22:27:20');
INSERT INTO `dictionary` VALUES (125836, 'أصناف', 'esnaf', '2023-10-03 22:27:20', '2023-10-03 22:27:20');
INSERT INTO `dictionary` VALUES (125837, 'أصنام', 'esnam', '2023-10-03 22:27:21', '2023-10-03 22:27:21');
INSERT INTO `dictionary` VALUES (125838, 'أصوات', 'esvat', '2023-10-03 22:27:21', '2023-10-03 22:27:21');
INSERT INTO `dictionary` VALUES (125839, 'أصوب', 'esvab', '2023-10-03 22:27:22', '2023-10-03 22:27:22');
INSERT INTO `dictionary` VALUES (125840, 'أصهار', 'eshar', '2023-10-03 22:27:22', '2023-10-03 22:27:22');
INSERT INTO `dictionary` VALUES (125841, 'آصیجی', 'asici', '2023-10-03 22:27:23', '2023-10-03 22:27:23');
INSERT INTO `dictionary` VALUES (125842, 'أصیل', 'asıl', '2023-10-03 22:27:23', '2023-10-03 22:27:23');
INSERT INTO `dictionary` VALUES (125843, 'إضاعه', 'izaa', '2023-10-03 22:27:24', '2023-10-03 22:27:24');
INSERT INTO `dictionary` VALUES (125844, 'إضافت', 'izafet', '2023-10-03 22:27:24', '2023-10-03 22:27:24');
INSERT INTO `dictionary` VALUES (125845, 'إضافه', 'izafe', '2023-10-03 22:27:24', '2023-10-03 22:27:24');
INSERT INTO `dictionary` VALUES (125846, 'أضحی', 'azha', '2023-10-03 22:27:25', '2023-10-03 22:27:25');
INSERT INTO `dictionary` VALUES (125847, 'أضداد', 'ezdad', '2023-10-03 22:27:25', '2023-10-03 22:27:25');
INSERT INTO `dictionary` VALUES (125848, 'أضر', 'ezar', '2023-10-03 22:27:26', '2023-10-03 22:27:26');
INSERT INTO `dictionary` VALUES (125849, 'إضرار', 'izrar', '2023-10-03 22:27:26', '2023-10-03 22:27:26');
INSERT INTO `dictionary` VALUES (125850, 'إضطراب', 'izdırab', '2023-10-03 22:27:27', '2023-10-03 22:27:27');
INSERT INTO `dictionary` VALUES (125851, 'إضطرار', 'izdirar', '2023-10-03 22:27:27', '2023-10-03 22:27:27');
INSERT INTO `dictionary` VALUES (125852, 'أضعاف', 'ez\'af', '2023-10-03 22:27:27', '2023-10-03 22:27:27');
INSERT INTO `dictionary` VALUES (125853, 'إضعاف', 'iz\'af', '2023-10-03 22:27:28', '2023-10-03 22:27:28');
INSERT INTO `dictionary` VALUES (125854, 'أضعف', 'ez\'af', '2023-10-03 22:27:28', '2023-10-03 22:27:28');
INSERT INTO `dictionary` VALUES (125855, 'أضغاث', 'ezgas', '2023-10-03 22:27:29', '2023-10-03 22:27:29');
INSERT INTO `dictionary` VALUES (125856, 'أضل', 'ezal', '2023-10-03 22:27:29', '2023-10-03 22:27:29');
INSERT INTO `dictionary` VALUES (125857, 'أضلاع', 'ezla\'', '2023-10-03 22:27:30', '2023-10-03 22:27:30');
INSERT INTO `dictionary` VALUES (125858, 'إضلال', 'izlal', '2023-10-03 22:27:30', '2023-10-03 22:27:30');
INSERT INTO `dictionary` VALUES (125859, 'إضمار', 'izmar', '2023-10-03 22:27:31', '2023-10-03 22:27:31');
INSERT INTO `dictionary` VALUES (125860, 'إضملال', 'izmihlal', '2023-10-03 22:27:31', '2023-10-03 22:27:31');
INSERT INTO `dictionary` VALUES (125861, 'أضیاف', 'ezyaf', '2023-10-03 22:27:31', '2023-10-03 22:27:31');
INSERT INTO `dictionary` VALUES (125862, 'أضیق', 'ezyak', '2023-10-03 22:27:32', '2023-10-03 22:27:32');
INSERT INTO `dictionary` VALUES (125863, 'إطاره', 'idare', '2023-10-03 22:27:32', '2023-10-03 22:27:32');
INSERT INTO `dictionary` VALUES (125864, 'إطاعت', 'itaat', '2023-10-03 22:27:33', '2023-10-03 22:27:33');
INSERT INTO `dictionary` VALUES (125865, 'إطاله', 'idale', '2023-10-03 22:27:33', '2023-10-03 22:27:33');
INSERT INTO `dictionary` VALUES (125866, 'أطباء', 'edibba', '2023-10-03 22:27:34', '2023-10-03 22:27:34');
INSERT INTO `dictionary` VALUES (125867, 'أطباق', 'etbak', '2023-10-03 22:27:34', '2023-10-03 22:27:34');
INSERT INTO `dictionary` VALUES (125868, 'إطراء', 'idra\'', '2023-10-03 22:27:35', '2023-10-03 22:27:35');
INSERT INTO `dictionary` VALUES (125869, 'إطراد', 'israd', '2023-10-03 22:27:35', '2023-10-03 22:27:35');
INSERT INTO `dictionary` VALUES (125870, 'أطرار', 'edrar', '2023-10-03 22:27:35', '2023-10-03 22:27:35');
INSERT INTO `dictionary` VALUES (125871, 'أطراف', 'etraf', '2023-10-03 22:27:36', '2023-10-03 22:27:36');
INSERT INTO `dictionary` VALUES (125872, 'إطعام', 'id\'am', '2023-10-03 22:27:36', '2023-10-03 22:27:36');
INSERT INTO `dictionary` VALUES (125873, 'إطعامیه', 'id\'amiyye', '2023-10-03 22:27:37', '2023-10-03 22:27:37');
INSERT INTO `dictionary` VALUES (125874, 'أطعمه', 'ed\'ıme', '2023-10-03 22:27:37', '2023-10-03 22:27:37');
INSERT INTO `dictionary` VALUES (125875, 'إطفاء', 'idfa\'', '2023-10-03 22:27:37', '2023-10-03 22:27:37');
INSERT INTO `dictionary` VALUES (125876, 'إطفائیه', 'itfaiyye', '2023-10-03 22:27:38', '2023-10-03 22:27:38');
INSERT INTO `dictionary` VALUES (125877, 'أطفال', 'etfal', '2023-10-03 22:27:38', '2023-10-03 22:27:38');
INSERT INTO `dictionary` VALUES (125878, 'إطلاع', 'ittila\'', '2023-10-03 22:27:39', '2023-10-03 22:27:39');
INSERT INTO `dictionary` VALUES (125879, 'إطلاق', 'itlak', '2023-10-03 22:27:39', '2023-10-03 22:27:39');
INSERT INTO `dictionary` VALUES (125880, 'أطلس', 'atlas', '2023-10-03 22:27:40', '2023-10-03 22:27:40');
INSERT INTO `dictionary` VALUES (125881, 'إطماع', 'itma\'', '2023-10-03 22:27:40', '2023-10-03 22:27:40');
INSERT INTO `dictionary` VALUES (125882, 'إطمئنان', 'itmi\'nan', '2023-10-03 22:27:41', '2023-10-03 22:27:41');
INSERT INTO `dictionary` VALUES (125883, 'إطناب', 'itnab', '2023-10-03 22:27:41', '2023-10-03 22:27:41');
INSERT INTO `dictionary` VALUES (125884, 'إطنان', 'idnan', '2023-10-03 22:27:41', '2023-10-03 22:27:41');
INSERT INTO `dictionary` VALUES (125885, 'أطوار', 'etvar', '2023-10-03 22:27:42', '2023-10-03 22:27:42');
INSERT INTO `dictionary` VALUES (125886, 'أطواق', 'etvak', '2023-10-03 22:27:42', '2023-10-03 22:27:42');
INSERT INTO `dictionary` VALUES (125887, 'أطوال', 'etval', '2023-10-03 22:27:43', '2023-10-03 22:27:43');
INSERT INTO `dictionary` VALUES (125888, 'آطه', 'Ada', '2023-10-03 22:27:43', '2023-10-03 22:27:43');
INSERT INTO `dictionary` VALUES (125889, 'أطهار', 'ethar', '2023-10-03 22:27:44', '2023-10-03 22:27:44');
INSERT INTO `dictionary` VALUES (125890, 'أطهر', 'ethar', '2023-10-03 22:27:44', '2023-10-03 22:27:44');
INSERT INTO `dictionary` VALUES (125891, 'أطیب', 'etyab', '2023-10-03 22:27:45', '2023-10-03 22:27:45');
INSERT INTO `dictionary` VALUES (125892, 'أظافیر', 'ezafir', '2023-10-03 22:27:45', '2023-10-03 22:27:45');
INSERT INTO `dictionary` VALUES (125893, 'أظرف', 'ezraf', '2023-10-03 22:27:46', '2023-10-03 22:27:46');
INSERT INTO `dictionary` VALUES (125894, 'أظفار', 'ezfar', '2023-10-03 22:27:46', '2023-10-03 22:27:46');
INSERT INTO `dictionary` VALUES (125895, 'أظلاف', 'ezlaf', '2023-10-03 22:27:47', '2023-10-03 22:27:47');
INSERT INTO `dictionary` VALUES (125896, 'أظلال', 'ezlal', '2023-10-03 22:27:47', '2023-10-03 22:27:47');
INSERT INTO `dictionary` VALUES (125897, 'أظلم', 'ezlam', '2023-10-03 22:27:48', '2023-10-03 22:27:48');
INSERT INTO `dictionary` VALUES (125898, 'إظهار', 'izhar', '2023-10-03 22:27:48', '2023-10-03 22:27:48');
INSERT INTO `dictionary` VALUES (125899, 'أظهر', 'ezhar', '2023-10-03 22:27:49', '2023-10-03 22:27:49');
INSERT INTO `dictionary` VALUES (125900, 'أعاجم', 'eacib', '2023-10-03 22:27:49', '2023-10-03 22:27:49');
INSERT INTO `dictionary` VALUES (125901, 'أعاجیب', 'eacib', '2023-10-03 22:27:49', '2023-10-03 22:27:49');
INSERT INTO `dictionary` VALUES (125902, 'إعاده', 'iade', '2023-10-03 22:27:50', '2023-10-03 22:27:50');
INSERT INTO `dictionary` VALUES (125903, 'أعادی', 'eadi', '2023-10-03 22:27:50', '2023-10-03 22:27:50');
INSERT INTO `dictionary` VALUES (125904, 'إعاره', 'iare', '2023-10-03 22:27:51', '2023-10-03 22:27:51');
INSERT INTO `dictionary` VALUES (125905, 'إعاشه', 'iaşe', '2023-10-03 22:27:51', '2023-10-03 22:27:51');
INSERT INTO `dictionary` VALUES (125906, 'أعاظم', 'eazim', '2023-10-03 22:27:52', '2023-10-03 22:27:52');
INSERT INTO `dictionary` VALUES (125907, 'أعالی', 'eali', '2023-10-03 22:27:52', '2023-10-03 22:27:52');
INSERT INTO `dictionary` VALUES (125908, 'إعانه', 'iane', '2023-10-03 22:27:53', '2023-10-03 22:27:53');
INSERT INTO `dictionary` VALUES (125909, 'إعتاق', 'i\'tak', '2023-10-03 22:27:53', '2023-10-03 22:27:53');
INSERT INTO `dictionary` VALUES (125910, 'إعتبار', 'itibar', '2023-10-03 22:27:54', '2023-10-03 22:27:54');
INSERT INTO `dictionary` VALUES (125911, 'إعتدال', 'itidal', '2023-10-03 22:27:54', '2023-10-03 22:27:54');
INSERT INTO `dictionary` VALUES (125912, 'إعتذار', 'itizar', '2023-10-03 22:27:55', '2023-10-03 22:27:55');
INSERT INTO `dictionary` VALUES (125913, 'إعتراض', 'itiraz', '2023-10-03 22:27:55', '2023-10-03 22:27:55');
INSERT INTO `dictionary` VALUES (125914, 'إعتراف', 'itiraf', '2023-10-03 22:27:55', '2023-10-03 22:27:55');
INSERT INTO `dictionary` VALUES (125915, 'إعتزال', 'itizal', '2023-10-03 22:27:56', '2023-10-03 22:27:56');
INSERT INTO `dictionary` VALUES (125916, 'إعتزام', 'itizam', '2023-10-03 22:27:56', '2023-10-03 22:27:56');
INSERT INTO `dictionary` VALUES (125917, 'إعتساف', 'itisaf', '2023-10-03 22:27:57', '2023-10-03 22:27:57');
INSERT INTO `dictionary` VALUES (125918, 'إعتصام', 'itisam', '2023-10-03 22:27:57', '2023-10-03 22:27:57');
INSERT INTO `dictionary` VALUES (125919, 'إعتقاد', 'itikat', '2023-10-03 22:27:58', '2023-10-03 22:27:58');
INSERT INTO `dictionary` VALUES (125920, 'إعتكاف', 'itikaf', '2023-10-03 22:27:58', '2023-10-03 22:27:58');
INSERT INTO `dictionary` VALUES (125921, 'إعتلاء', 'itila\'', '2023-10-03 22:27:58', '2023-10-03 22:27:58');
INSERT INTO `dictionary` VALUES (125922, 'إعتماد', 'itimad', '2023-10-03 22:27:59', '2023-10-03 22:27:59');
INSERT INTO `dictionary` VALUES (125923, 'إعتناء', 'itina', '2023-10-03 22:27:59', '2023-10-03 22:27:59');
INSERT INTO `dictionary` VALUES (125924, 'إعتیاد', 'itiyad', '2023-10-03 22:28:00', '2023-10-03 22:28:00');
INSERT INTO `dictionary` VALUES (125925, 'إعجاب', 'icab', '2023-10-03 22:28:00', '2023-10-03 22:28:00');
INSERT INTO `dictionary` VALUES (125926, 'إعجاز', 'icaz', '2023-10-03 22:28:01', '2023-10-03 22:28:01');
INSERT INTO `dictionary` VALUES (125927, 'إعجال', 'ical', '2023-10-03 22:28:01', '2023-10-03 22:28:01');
INSERT INTO `dictionary` VALUES (125928, 'أعجام', 'a\'cem', '2023-10-03 22:28:01', '2023-10-03 22:28:01');
INSERT INTO `dictionary` VALUES (125929, 'أعجب', 'e\'ceb', '2023-10-03 22:28:02', '2023-10-03 22:28:02');
INSERT INTO `dictionary` VALUES (125930, 'أعجز', 'a\'cez', '2023-10-03 22:28:02', '2023-10-03 22:28:02');
INSERT INTO `dictionary` VALUES (125931, 'أعجم', 'a\'cem', '2023-10-03 22:28:03', '2023-10-03 22:28:03');
INSERT INTO `dictionary` VALUES (125932, 'أعداء', 'a\'da\'', '2023-10-03 22:28:03', '2023-10-03 22:28:03');
INSERT INTO `dictionary` VALUES (125933, 'أعداد', 'a\'dad', '2023-10-03 22:28:03', '2023-10-03 22:28:03');
INSERT INTO `dictionary` VALUES (125934, 'إعداد', 'i\'dad', '2023-10-03 22:28:04', '2023-10-03 22:28:04');
INSERT INTO `dictionary` VALUES (125935, 'إعدادیه', 'i\'dadiye', '2023-10-03 22:28:04', '2023-10-03 22:28:04');
INSERT INTO `dictionary` VALUES (125936, 'إعدام', 'i\'dam', '2023-10-03 22:28:05', '2023-10-03 22:28:05');
INSERT INTO `dictionary` VALUES (125937, 'أعدل', 'a\'del', '2023-10-03 22:28:05', '2023-10-03 22:28:05');
INSERT INTO `dictionary` VALUES (125938, 'أعذار', 'a\'zar', '2023-10-03 22:28:06', '2023-10-03 22:28:06');
INSERT INTO `dictionary` VALUES (125939, 'أعذب', 'a\'zeb', '2023-10-03 22:28:06', '2023-10-03 22:28:06');
INSERT INTO `dictionary` VALUES (125940, 'أعراب', 'a\'rab', '2023-10-03 22:28:06', '2023-10-03 22:28:06');
INSERT INTO `dictionary` VALUES (125941, 'إعراب', 'irab', '2023-10-03 22:28:07', '2023-10-03 22:28:07');
INSERT INTO `dictionary` VALUES (125942, 'أعراش', 'a\'raş', '2023-10-03 22:28:07', '2023-10-03 22:28:07');
INSERT INTO `dictionary` VALUES (125943, 'أعراض', 'a\'raz', '2023-10-03 22:28:08', '2023-10-03 22:28:08');
INSERT INTO `dictionary` VALUES (125944, 'إعراض', 'iraz', '2023-10-03 22:28:08', '2023-10-03 22:28:08');
INSERT INTO `dictionary` VALUES (125945, 'أعراف', 'a\'raf', '2023-10-03 22:28:08', '2023-10-03 22:28:08');
INSERT INTO `dictionary` VALUES (125946, 'أعرف', 'A\'raf', '2023-10-03 22:28:09', '2023-10-03 22:28:09');
INSERT INTO `dictionary` VALUES (125947, 'أعز', 'eaz', '2023-10-03 22:28:09', '2023-10-03 22:28:09');
INSERT INTO `dictionary` VALUES (125948, 'أعزاء', 'eızza', '2023-10-03 22:28:10', '2023-10-03 22:28:10');
INSERT INTO `dictionary` VALUES (125949, 'إعزاز', 'izaz', '2023-10-03 22:28:10', '2023-10-03 22:28:10');
INSERT INTO `dictionary` VALUES (125950, 'إعزام', 'izam', '2023-10-03 22:28:11', '2023-10-03 22:28:11');
INSERT INTO `dictionary` VALUES (125951, 'أعزه', 'eızze', '2023-10-03 22:28:11', '2023-10-03 22:28:11');
INSERT INTO `dictionary` VALUES (125952, 'أعسر', 'a\'ser', '2023-10-03 22:28:11', '2023-10-03 22:28:11');
INSERT INTO `dictionary` VALUES (125953, 'أعشار', 'a\'şar', '2023-10-03 22:28:12', '2023-10-03 22:28:12');
INSERT INTO `dictionary` VALUES (125954, 'أعصاب', 'a\'sab', '2023-10-03 22:28:12', '2023-10-03 22:28:12');
INSERT INTO `dictionary` VALUES (125955, 'أعصار', 'a\'sar', '2023-10-03 22:28:13', '2023-10-03 22:28:13');
INSERT INTO `dictionary` VALUES (125956, 'أعضاء', 'a\'za\'', '2023-10-03 22:28:13', '2023-10-03 22:28:13');
INSERT INTO `dictionary` VALUES (125957, 'إعطاء', 'i\'ta\'', '2023-10-03 22:28:14', '2023-10-03 22:28:14');
INSERT INTO `dictionary` VALUES (125958, 'إعطاف', 'itaf', '2023-10-03 22:28:14', '2023-10-03 22:28:14');
INSERT INTO `dictionary` VALUES (125959, 'إعظام', 'izam', '2023-10-03 22:28:14', '2023-10-03 22:28:14');
